#name	ra	dec	redshift
2003eu	12:36:05.907	+62:11:01.68	0.76
2002kh	12:36:16.798	+62:14:37.66	0.51637
2003be	12:36:25.983	+62:06:55.57	0.636
2003es	12:36:55.386	+62:13:11.92	0.968
2003dy	12:37:09.144	+62:11:28.61	1.34
2003az	12:37:19.669	+62:18:37.50	1.27
#2003bd	12:37:25.071	+62:13:17.59	0.67
2002ki	12:37:28.367	+62:20:39.77	1.141
#2003eq	12:37:48.340	+62:13:35.32	0.839
K0404-002	12:36:25.935	+62:09:37.39	0.74
K0404-007	12:37:09.456	+62:22:15.62	1.61
#K0404-009	12:37:21.306	+62:09:35.29	0.703
K0405-003	12:36:34.325	+62:12:12.91	0.45733
K0405-004	12:36:34.808	+62:15:49.15	0.85454
K0405-006	12:36:54.100	+62:08:22.69	1.35
#K0405-009	12:37:48.380	+62:13:35.43	0.83892
HST04Pot	12:37:51.530	+62:17:08.22	1.036
HST04Tha	12:36:55.173	+62:13:04.14	0.954
HST04Haw	12:35:41.177	+62:11:36.92	0.49
HST04Eag	12:37:20.907	+62:13:41.00	1.01891
HST05Spo	12:37:06.526	+62:15:11.70	0.839
HST05Red	12:37:01.527	+62:12:24.846	1.191
HST05Lan	12:36:56.726	+62:12:53.37	1.235
HST05Dic	12:35:49.611	+62:10:11.94	0.638
HST05Gab	12:36:13.839	+62:12:07.49	1.12
HST05Str	12:36:20.629	+62:10:50.57	1.02733
HST05Koe	12:36:22.705	+62:18:23.18	1.23
HST05Fer	12:36:25.100	+62:15:23.76	1.02
2003eb	12:37:15.172	+62:13:33.90	0.899
K0404-001	12:36:20.863	+62:10:19.62	0.937
GND12cal	12:37:10.487	62:15:47.67	1.00
GND13sto	12:37:16.778	62:16:41.43	0.90
GND12col	12:36:37.647	62:18:32.90	0.90
GND13gar	12:36:40.806	62:11:14.16	0.05
GND13jay	12:36:41.380	62:11:30.02	0.90
GND13war	12:36:54.761	62:12:16.70	0.10
GND13cam	12:37:07.354	62:10:26.90	0.99
GND13she	12:36:09.877	62:14:06.00	0.75
