#tau p_t m_t rate p_r m_rate cluster(0/1)
0.18 -0.15 +0.15 580 -0.1 +2450 0
0.21 -0.17 +0.21 136 -56 +110 0
0.21 -0.17 +0.21 140 -30 +30 0
1.4 -1.0 +1.0 55 -28 +40 0
1.4 -1.0 +1.0 25 -6 +6 0
8.1 -5.7 +5.7 3 -0.6 +1.5 0
8.1 -5.7 +5.7 1.8 -0.4 +0.4 0
8.1 -5.7 +5.7 4.5 -0.6 +0.6 0
#Galaxy Clusters   
1.9 -0.4 +0.8 35 -28 +66 1
2.8 -0.4 +1.0 22 -13 +26 1
3.1 -1.0 +0.9 20 -15 +18 1
4.1 -1.4 +0.3 12 -6 +13 1
5.7 -1.5 +0.7 8.0 -6.1 +7.2 1
6.6 -1.0 +2.3 9.3 -6.1 +7.2 1
8.4 -1.1 +0.7 5.7 -3.7 +8.3 1
8.7 -0.7 +1.3 4.5 -1.0 +1.3 1
9.5 -0.4 +1.0 5.0 -2.5 +3.4 1
10.3 -1.0 +0.6 3.0 -1.1 +1.5 1
11.1 -0.3 +0.2 3.3 -1.0 +1.4 1
### cf. Friedmann & Maoz 2018, Maoz & Graur 2017, Maoz et al. (2010, 2011, 2012) and Graur & Maoz (2013)
### rate is in 1e-14 per year per solar mass
