# col1_1 col1_2    col4_2     col5_2    
  529    2003be    189.108338 62.115428 
  912    2003er    189.134933 62.126244 
  1006   2003dz    189.166338 62.131267 
  1476   K0405-006 189.225342 62.139542 
  1731   K0405-002 189.111292 62.141708 
  1904   GNW12gor  189.085913 62.145808 
  1995   2003dx    189.132004 62.14685  
  2042   2003bb    189.101763 62.143494 
  2573   HST04Ida  189.005617 62.153297 
  3812   2003bc    189.159208 62.164939 
  4278   HST05Dic  188.956679 62.170039 
  4504   K0404-001 189.087204 62.172261 
  4658   GND13cam  189.280758 62.1742269
  4847   HST05Den  189.311554 62.175725 
  5304   K0405-001 188.961488 62.177208 
  5412   HST04Cum  189.326888 62.180756 
  5545   HST05Str  189.085921 62.180783 
  5600   HST04Geo  189.185133 62.181442 
  5823   2003eu    189.02455  62.183681 
  5852   2003N     189.288604 62.183514 
  6287   GND13gar  189.170017 62.187378 
  6943   2003ew    189.115858 62.190297 
  6969   2003dy    189.28795  62.191383 
  7065   2003lv    189.370638 62.191056 
  7220   GND13jay  189.172358 62.191533 
  7338   HST05Ton  189.256438 62.191392 
  7360   HST04Haw  188.921617 62.193558 
  7401   K0404-003 189.122667 62.194947 
  7699   HST05Srp  189.195329 62.195892 
  7904   GND13reh  189.22685  62.197897 
  7907   GND13bid  189.172558 62.195181 
  8478   HST05Gab  189.057692 62.202083 
  8501   HST04Cay  189.362917 62.202125 
  8940   GND13war  189.228279 62.204611 
  9381   HST05Red  189.256363 62.206897 
  9507   HST05Bra  189.340683 62.207131 
  9831   K0405-003 189.143525 62.203636 
  9897   2003ea    189.300096 62.210647 
  10190  HST05Pic  189.408188 62.212208 
  10335  2003ba    189.0663   62.210472 
  10453  HST05Kir  189.061979 62.214742 
  10555  HST05Lan  189.236342 62.214692 
  10652  HST04Con  189.284408 62.214928 
  10988  HST04Tha  189.229796 62.217778 
  11074  HST05Cas  189.032363 62.219064 
  11394  2003bd    189.354463 62.221553 
  11420  HST05Hol  189.329283 62.220956 
  11595  2003es    189.23105  62.219883 
  12210  2003et    188.982758 62.225869 
  12327  2003eb    189.312913 62.226294 
  12525  HST04Eag  189.337038 62.228072 
  12651  2003en    189.138121 62.229906 
  13125  GND12bre  189.231332 62.2329993
  13556  GND13she  189.041279 62.234942 
  13598  K0405-010 189.469496 62.235592 
  14881  HST05Sev  189.432388 62.243919 
  15153  2002kh    189.07025  62.243706 
  16300  HST05Spo  189.276825 62.253344 
  16334  HST05Mob  189.106325 62.253067 
  16511  GND13ful  189.080113 62.253544 
  16674  GND13vin  189.276667 62.255006 
  16769  HST05Fer  189.104783 62.25655  
  17014  K0404-005 189.112733 62.252708 
  17167  GND12bur  189.135267 62.2590974
  17481  GND13roy  189.192633 62.257628 
  17904  GND12cal  189.293649 62.263167 
  18258  GND12fai  189.06639  62.2655318
  18260  K0405-004 189.145492 62.263669 
  18390  HST05Fil  189.330538 62.266472 
  18686  K0404-011 189.205675 62.268008 
  19639  K0404-010 189.191954 62.273833 
  19698  GND12kin  189.304223 62.2752405
  20186  GND13sto  189.320099 62.278516 
  20193  K0405-007 189.243529 62.277047 
  21156  HST04Pot  189.464875 62.285617 
  21281  HST04Gua  189.401763 62.2742   
  21296  GND13fin  189.326342 62.285928 
  22092  K0404-008 189.515196 62.286603 
  22115  K0405-005 189.149963 62.292408 
  22355  GND12whe  189.10086  62.2944232
  22645  HST05Ste  189.256392 62.296425 
  23344  GND13wol  189.245554 62.302789 
  23502  GND12tom  189.17765  62.305761 
  23694  HST05Koe  189.095246 62.306447 
  24182  K0404-007 189.289246 62.370781 
  24376  K0404-006 189.278046 62.35495  
  24709  2002ki    189.368271 62.344383 
  24887  GNW12ger  189.320687 62.343983 
  26114  HST05Sco  189.213317 62.332253 
  26256  K0405-008 189.391008 62.322844 
  26939  GND12daw  189.17225  62.314584 
  27320  2003az    189.331971 62.310444 
  27438  GND12col  189.156342 62.3091036
  28563  K0404-002 189.108046 62.160553 
