# col1_1 col1_2   col4_2    col5_2    
  965    2003aj   53.184779 -27.918461
  1244   2003ak   53.195388 -27.913625
  1583   GSW11Jac 53.134585 -27.905671
  1595   2002fz   53.202358 -27.904925
  1711   HST05Boy 53.186913 -27.903125
  1785   GSD11Ada 53.082437 -27.902542
  2492   HST04Fox 53.174021 -27.891514
  2511   HST04Jef 53.098663 -27.891019
  2802   2002ga   53.135904 -27.887964
  3456   HST04Pet 53.211104 -27.880231
  3689   GSD11Mad 53.078194 -27.878458
  3997   GSD11Buc 53.119642 -27.875556
  4997   HST04Lei 53.246704 -27.864981
  6186   2002fv   53.094742 -27.852658
  6229   HST04Kur 53.149871 -27.855081
  6807   HST04Lek 53.23095  -27.846378
  6864   GSD12Hum 53.064938 -27.847341
  7126   GSD10Tum 53.074462 -27.849863
  7676   HST04Hei 53.176729 -27.839378
  7717   HST04Pol 53.082004 -27.839869
  7837   GSD12Agn 53.107753 -27.838837
  7926   HST04Sos 53.094325 -27.837583
  8008   2002kb   53.176788 -27.840319
  8736   HST04Mcg 53.042613 -27.830458
  8859   GSD11Was 53.0869   -27.82819 
  8979   HST04Mur 53.147113 -27.827764
  9312   HST04Bon 53.06735  -27.828281
  9607   GSD11Lin 53.124163 -27.822015
  9726   HST04Ken 53.186258 -27.822992
  9935   GSD12Qua 53.048805 -27.819803
  10565  HST05Gal 53.137196 -27.815656
  11239  2002hs   53.077238 -27.809483
  11855  GSD11Bus 53.178232 -27.801973
  12050  GSD11Wor 53.044708 -27.801984
  12984  2002lg   53.148958 -27.799686
  13379  GSD12Roc 53.026534 -27.790731
  13858  GSD11Van 53.079185 -27.788426
  14251  GSD11For 53.059666 -27.786987
  14703  HST04Gre 53.089575 -27.782867
  14962  GSD11Tay 53.227093 -27.784353
  15316  2002fw   53.156521 -27.779661
  15591  GSD10Pri 53.158297 -27.777415
  16531  2002hp   53.103346 -27.771642
  16622  GSD11Roo 53.131586 -27.770198
  18603  GSD11Har 53.127376 -27.755099
  18904  HST04Omb 53.105617 -27.750778
  19224  HST04Riv 53.135029 -27.748011
  19729  2002fx   53.028417 -27.742872
  19962  2003al   53.022504 -27.74145 
  20219  2002kd   53.094129 -27.740503
  20227  HST05Zwi 53.190279 -27.740025
  20479  HST04Rak 53.075754 -27.736081
  21695  2002hq   53.125113 -27.729833
  24093  2002kc   53.144758 -27.665936
  24539  HST04Sam 53.111008 -27.681267
  25895  2002hr   53.094071 -27.697803
  25920  2002fy   53.075525 -27.698761
  26127  HST04Wil 53.054421 -27.701367
