#   id name ra dec id logM_50 logSFR_50 logOH_50 tauV_50 logAGE_50 zzz_50 nn_50 VJ_50 UV_50 logM_16 logSFR_16 logOH_16 tauV_16 logAGE_16 zzz_16 nn_16 VJ_16 UV_16 logM_84 logSFR_84 logOH_84 tauV_84 logAGE_84 zzz_84 nn_84 VJ_84 UV_84
  529    2003be    189.108338 62.115428  529   10.747 0.924  8.07  2.085 9.077 0.617 -0.827 1.085  1.283 10.676 0.282  7.295 1.377 8.926 0.596 -0.955 1.049  1.245  10.852 1.448  8.959 3.461 9.203 0.638 -0.632 1.133  1.313
  912    2003er    189.134933 62.126244  912   10.86  0.784  8.071 2.307 9.133 0.568 -0.779 1.225  1.43  10.781 0.121  7.221 1.623 9.05  0.546 -0.955 1.187  1.396  10.948 1.447  9.03  3.43  9.222 0.602 -0.605 1.264  1.466
  1006   2003dz    189.166338 62.131267  1006  9.207  -0.19  7.312 1.145 8.104 1.363 -0.855 0.454  0.677 9.164  -0.541 7.239 0.542 8.081 1.325 -0.943 0.427  0.543  9.274  0.388  8.387 1.187 8.447 1.409 -0.796 0.478  0.705
  1476   K0405-006 189.225342 62.139542  1476  10.623 1.056  8.352 2.307 8.162 1.67  -0.989 1.035  1.214 10.578 0.665  8.012 1.877 8.11  1.634 -0.995 1.007  1.166  10.705 1.488  8.717 3.336 8.327 1.704 -0.91  1.109  1.234
  1731   K0405-002 189.111292 62.141708  1731  10.026 0.086  8.073 0.655 9.008 0.517 -0.637 0.719  0.937 9.965  -0.231 7.371 0.218 8.899 0.494 -0.896 0.685  0.895  10.096 0.69   8.954 1.462 9.08  0.552 -0.459 0.748  0.968
  1904   GNW12gor  189.085913 62.145808  1904  8.769  0.394  8.721 0.655 8.697 0.664 -0.976 0.332  0.413 8.751  0.37   8.713 0.641 8.687 0.646 -0.978 0.318  0.399  8.787  0.418  8.729 0.669 8.707 0.681 -0.974 0.347  0.428
  1995   2003dx    189.132004 62.14685   1995  9.25   -0.856 7.943 0.526 8.907 0.543 -0.549 0.596  0.795 9.176  -1.421 7.365 0.263 8.724 0.504 -0.829 0.568  0.767  9.326  0.057  8.754 2.822 8.998 0.573 -0.401 0.64   0.827
  2042   2003bb    189.101763 62.143494  2042  11.138 1.997  8.516 1.463 8.881 0.958 -0.865 0.972  1.081 11.081 1.668  7.264 1.246 8.778 0.918 -0.94  0.933  1.041  11.292 2.26   8.855 1.682 9.017 0.986 -0.654 0.998  1.128
  2573   HST04Ida  189.005617 62.153297  2573  9.141  -0.442 8.311 0.279 8.06  3.09  -0.617 0.196  0.467 9.032  -1.19  7.495 0.098 7.932 3.059 -0.841 0.122  0.384  9.236  0.351  9.054 0.97  8.201 3.132 -0.467 0.259  0.519
  3812   2003bc    189.159208 62.164939  3812  9.776  0.087  8.282 0.135 9.081 0.463 -0.721 0.603  0.767 9.708  -0.12  7.614 0.01  8.967 0.442 -0.87  0.567  0.651  9.889  0.769  8.505 0.586 9.169 0.485 -0.521 0.631  0.796
  4278   HST05Dic  188.956679 62.170039  4278  9.525  2.091  9.23  1.461 7.667 1.9   -0.97  0.98   0.616 9.508  2.067  9.222 1.447 7.656 1.882 -0.972 0.966  0.602  9.542  2.115  9.239 1.475 7.677 1.918 -0.968 0.994  0.63 
  4504   K0404-001 189.087204 62.172261  4504  10.846 0.604  8.119 3.223 9.091 0.946 -0.606 1.451  1.505 10.749 0.317  7.251 2.678 8.939 0.899 -0.707 1.413  1.453  11.009 1.521  8.68  3.545 9.212 0.982 -0.479 1.512  1.564
  4658   GND13cam  189.280758 62.1742269 4658  10.381 -0.027 9.229 3.273 8.453 1.181 -0.679 1.382  1.342 10.363 -0.053 9.22  3.258 8.442 1.162 -0.681 1.367  1.326  10.4   -0.0   9.238 3.288 8.464 1.2   -0.677 1.397  1.357
  4847   HST05Den  189.311554 62.175725  4847  9.555  -0.099 8.011 0.581 8.984 0.93  -0.697 0.74   0.967 9.494  -0.553 7.273 0.372 8.885 0.907 -0.857 0.706  0.91   9.635  0.381  8.775 1.414 9.086 0.967 -0.472 0.777  1.003
  5304   K0405-001 188.961488 62.177208  5304  10.041 0.313  8.116 0.716 8.983 0.533 -0.693 0.727  0.922 9.992  -0.203 7.252 0.221 8.901 0.499 -0.937 0.693  0.847  10.127 0.814  8.876 1.332 9.143 0.571 -0.497 0.754  0.971
  5412   HST04Cum  189.326888 62.180756  5412  8.497  -0.511 8.743 0.054 8.992 0.723 -0.86  0.44   0.466 8.424  -0.713 8.713 0.038 8.832 0.7   -0.863 0.384  0.443  8.528  -0.445 8.753 0.07  9.009 0.758 -0.858 0.468  0.556
