#  id  name  ra  dec   id  logM_50  logSFR_50  logOH_50  tauV_50 logAGE_50 zzz_50 nn_50 VJ_50 UV_50 logM_16 logSFR_16 logOH_16 tauV_16 logAGE_16 zzz_16 nn_16 VJ_16 UV_16 logM_84 logSFR_84 logOH_84 tauV_84 logAGE_84 zzz_84 nn_84 VJ_84 UV_84
  965    2003aj   53.184779 -27.918461 965   9.233  0.464  7.496 0.396 8.499 1.29  -0.642 0.406 0.536 9.181  0.344  7.331 0.353 8.125 1.264 -0.827 0.348  0.483 9.41   0.706  8.817 0.695 8.814 1.329 -0.472 0.43  0.592
  1244   2003ak   53.195388 -27.913625 1244  9.724  1.1    9.176 0.339 8.348 1.491 -0.871 0.408 0.445 9.67   1.029  8.889 0.318 8.323 1.471 -0.874 0.344  0.379 9.794  1.189  9.189 0.418 8.423 1.51  -0.557 0.429 0.465
  1583   GSW11Jac 53.134585 -27.905671 1583  8.951  -0.078 7.684 0.703 8.935 0.621 -0.557 0.608 0.784 8.876  -0.24  7.526 0.534 8.894 0.589 -0.949 0.572  0.645 9.021  0.127  8.361 1.116 9.027 0.664 -0.464 0.632 0.849
  1711   HST05Boy 53.186913 -27.903125 1711  8.323  -0.378 8.053 0.078 8.802 0.666 -0.719 0.07  0.234 8.251  -0.407 8.036 0.046 8.777 0.647 -0.723 0.04   0.039 8.375  -0.349 8.097 0.105 8.885 0.685 -0.412 0.139 0.263
  1785   GSD11Ada 53.082437 -27.902542 1785  9.832  0.927  8.961 0.585 8.792 0.763 -0.913 0.618 0.722 9.793  0.858  7.892 0.563 8.697 0.742 -0.917 0.598  0.683 9.879  1.014  8.975 0.817 8.856 0.785 -0.739 0.642 0.785
  2492   HST04Fox 53.174021 -27.891514 2492  8.844  -0.107 7.892 0.122 8.913 0.666 -0.498 0.377 0.473 8.718  -0.212 7.766 0.085 8.668 0.647 -0.591 0.335  0.405 8.878  -0.068 8.766 0.373 9.002 0.685 -0.437 0.419 0.513
  2511   HST04Jef 53.098663 -27.891019 2511  8.657  0.191  9.325 0.411 8.811 0.822 -0.66  0.648 0.296 8.614  0.15   9.198 0.395 8.693 0.801 -0.663 0.603  0.278 8.708  0.255  9.335 0.428 8.831 0.844 -0.658 0.732 0.368
  2802   2002ga   53.135904 -27.887964 2802  9.705  0.309  8.621 0.857 8.745 0.982 -0.67  0.693 0.85  9.657  -0.494 7.52  0.561 8.632 0.952 -0.911 0.653  0.775 9.778  0.69   9.104 1.981 8.926 1.024 -0.455 0.737 0.898
  3456   HST04Pet 53.211104 -27.880231 3456  9.812  0.737  9.185 0.703 8.756 1.489 -0.474 0.727 0.746 9.702  0.651  9.133 0.59  8.17  1.458 -0.591 0.645  0.69  9.842  1.148  9.24  1.44  8.793 1.526 -0.452 0.75  0.783
  3689   GSD11Mad 53.078194 -27.878458 3689  9.28   0.617  8.407 0.127 8.368 0.913 -0.916 0.094 0.295 9.258  0.586  8.397 0.103 8.355 0.879 -0.931 0.077  0.277 9.396  0.74   8.418 0.145 8.719 0.936 -0.913 0.141 0.313
  3997   GSD11Buc 53.119642 -27.875556 3997  10.287 0.573  8.107 1.579 9.117 0.672 -0.896 1.034 1.239 10.175 -0.154 7.572 1.058 8.999 0.647 -0.96  1.0    1.149 10.374 1.101  8.862 2.696 9.231 0.711 -0.584 1.07  1.279
  4997   HST04Lei 53.246704 -27.864981 4997  9.176  0.533  7.468 0.42  8.458 0.916 -0.755 0.297 0.486 9.156  0.503  7.452 0.352 8.44  0.894 -0.759 0.277  0.452 9.196  0.564  8.865 0.571 8.575 0.937 -0.674 0.33  0.512
  6186   2002fv   53.094742 -27.852658 6186  8.471  -1.03  8.183 0.555 8.486 1.958 -0.595 0.456 0.67  8.352  -1.849 7.468 0.13  8.193 1.871 -0.823 0.358  0.596 8.582  -0.397 8.949 2.077 8.671 2.019 -0.45  0.55  0.742
  6229   HST04Kur 53.149871 -27.855081 6229  10.181 0.568  7.893 0.711 9.119 0.406 -0.637 0.76  0.962 10.092 -0.02  7.283 0.285 8.954 0.383 -0.876 0.726  0.845 10.289 1.132  8.849 1.292 9.216 0.43  -0.489 0.798 0.998
  6807   HST04Lek 53.23095  -27.846378 6807  8.984  -0.101 9.319 0.506 8.76  0.83  -0.834 0.724 0.77  8.92   -1.066 8.347 0.484 8.671 0.804 -0.838 0.667  0.697 9.079  0.105  9.333 1.153 8.811 0.874 -0.419 0.757 0.809
  6864   GSD12Hum 53.064938 -27.847341 6864  10.419 2.165  8.787 0.759 8.188 2.533 -0.716 0.318 0.403 10.035 2.016  7.892 0.539 7.876 2.49  -0.853 -0.113 0.361 10.532 2.301  8.85  0.987 8.483 2.712 -0.472 0.417 0.528
  7717   HST04Pol 53.082004 -27.839869 7717  10.487 1.464  9.003 1.666 8.918 0.583 -0.498 0.935 0.966 10.346 0.646  7.692 1.365 8.829 0.543 -0.757 0.894  0.919 10.575 1.587  9.238 2.839 9.046 0.62  -0.44  0.984 1.053
  7837   GSD12Agn 53.107753 -27.838837 7837  10.513 1.035  8.435 1.837 8.677 1.034 -0.527 0.843 0.954 10.465 0.309  7.476 1.309 8.575 1.009 -0.701 0.798  0.869 10.597 1.718  9.112 3.09  8.812 1.072 -0.45  0.872 0.99 
  7926   HST04Sos 53.094325 -27.837583 7926  9.855  0.269  8.047 1.537 9.141 0.515 -0.681 0.959 1.18  9.774  -0.447 7.399 0.911 8.97  0.486 -0.892 0.925  1.118 9.942  0.846  9.017 2.54  9.247 0.556 -0.497 0.996 1.223
  8008   2002kb   53.176788 -27.840319 8008  10.632 1.157  8.163 1.07  9.088 0.556 -0.669 0.839 1.013 10.555 0.296  7.457 0.553 8.858 0.519 -0.911 0.801  0.935 10.711 1.596  9.091 1.824 9.19  0.583 -0.506 0.872 1.063
