#SN     Host    offset(as)      redshift
GSD11Wor        212050  0.09    0.7
GSD11For        214251  0.07    0.6
GSD11Mad        203689  0.22    0.9
GSD11Was        208859  0.08    0.9
GSD12Agn        207837  0.09    1.1
GSD11Har        218603  0.09    0.7
GSD11Roo        216622  0.06    0.7
GSD10Pri        215591  0.13    1.5
GSD11Bus        211855  0.04    1.5
2003al  219962  0.03    0.9
2002fx  219729  0.02    1.4
2002fy  225920  0.11    0.5
2002kd  220219  0.08    0.7
2002hr  225895  0.06    0.5
2002hp  216531  0.04    1.3
2002ga  202802  0.10    1.0
2002kc  224093  0.05    0.2
2002lg  212984  0.01    0.7
2002fw  215316  0.02    1.3
2003aj  200965  0.03    1.3
2003ak  201244  0.01    1.6
HST04Mcg        208736  0.16    1.4
HST04Sam        224539  0.02    1.2
HST04Lei        204997  0.05    0.8
HST04Pet        203456  0.21    1.5
HST04Lek        206807  0.02    0.9
HST04Kur        206229  0.06    0.4
HST04Pyr        209726  0.04    0.5
HST04Rak        220479  0.07    0.7
HST04Omb        218904  0.05    1.0
HST05Zwi        220227  0.09    0.5
HST05Gal        210565  0.06    0.8
2003eu  105823  0.66    0.8
2002kh  115153  1.82    0.5
2003be  100529  0.42    0.6
2003es  111595  1.16    1.0
2003dy  106969  0.38    1.3
2003az  127320  0.22    1.4
2002ki  124709  0.72    1.1
K0404-002       128563  1.33    1.4
K0404-007       124182  1.20    1.7
K0405-003       109831  2.13    0.5
K0405-004       118260  1.79    0.9
K0405-006       101476  0.72    1.5
HST04Pot        121156  0.66    1.1
HST04Tha        110988  0.55    1.0
HST04Haw        107360  0.44    0.0
HST04Eag        112525  0.93    1.0
HST05Spo        116374  1.18    0.6
HST05Red        109381  2.21    1.0
HST05Lan        110555  0.88    1.2
HST05Dic        104278  3.19    0.1
HST05Gab        108478  0.37    1.2
HST05Str        105545  0.02    1.0
HST05Koe        123694  3.04    1.1
HST05Fer        116769  0.89    1.0
2003eb  112327  1.31    0.9
K0404-001       104504  0.92    0.9
GND12cal        117904  0.28    0.9
GND13sto        120090  2.66    1.3
GND12col        127438  1.87    1.5
GND13gar        106287  0.15    1.4
GND13jay        107220  0.47    1.0
GND13war        108940  0.34    1.7
GND13cam        104658  0.07    1.2
GND13she        113556  0.41    0.5
