#zl	zu	csfh	ue	ul
## IR
0.03	0.03	-1.72	0.02	0.03
0.03	0.03	-1.95	0.2	0.2
0.4	0.7	-1.34	0.22	0.11
0.7	1	-0.96	0.15	0.19
1	1.3	-0.89	0.27	0.21
1.3	1.8	-0.91	0.17	0.21
1.8	2.3	-0.89	0.21	0.25
0.4	0.7	-1.22	0.08	0.11
0.7	1	-1.1	0.1	0.13
1	1.3	-0.96	0.13	0.2
1.3	1.8	-0.94	0.13	0.18
1.8	2.3	-0.8	0.18	0.15
0	0.3	-1.64	0.09	0.11
0.3	0.445	-1.42	0.03	0.04
0.45	0.6	-1.32	0.05	0.05
0.6	0.8	-1.14	0.06	0.06
0.8	1	-0.94	0.05	0.06
1	1.2	-0.81	0.04	0.05
1.2	1.7	-0.84	0.04	0.04
1.7	2	-0.86	0.02	0.03
2	2.5	-0.91	0.09	0.12
2.5	3	-0.86	0.15	0.23
3	4.2	-1.36	0.23	0.5
