#zl	zu	csfh	ue	ul
## UV
0.01	0.1	-1.82	0.09	0.02
0.2	0.4	-1.5	0.05	0.05
0.4	0.6	-1.39	0.15	0.08
0.6	0.8	-1.2	0.31	0.13
0.8	1.2	-1.25	0.31	0.13
0.05	0.05	-1.77	0.08	0.09
0.05	0.2	-1.75	0.18	0.18
0.2	0.4	-1.55	0.12	0.12
0.4	0.6	-1.44	0.1	0.1
0.6	0.8	-1.24	0.1	0.1
0.8	1	-0.99	0.09	0.08
1	1.2	-0.94	0.09	0.09
1.2	1.7	-0.95	0.15	0.08
1.7	2.5	-0.75	0.49	0.09
2.5	3.5	-1.04	0.26	0.15
3.5	4.5	-1.69	0.22	0.32
#0.92	1.33	-1.02	0.08	0.08
#1.62	1.88	-0.75	0.12	0.12
#2.08	2.37	-0.87	0.09	0.09
1.9	2.7	-0.75	0.09	0.11
2.7	3.4	-0.97	0.11	0.15
3.8	3.8	-1.29	0.05	0.05
4.9	4.9	-1.42	0.06	0.06
5.9	5.9	-1.65	0.08	0.08
7	7	-1.79	0.1	0.1
7.9	7.9	-2.09	0.11	0.11
7	7	-2.0	0.1	0.11
